open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755519720000,4300.84,4300.84,4292.99,4293.0,346.7174,1755519779999,1489904.327692,2474,223.4435,960241.639278,0
1755519780000,4293.0,4293.0,4286.94,4287.95,594.1211,1755519839999,2548115.666587,2380,62.2945,267177.636873,0
1755519840000,4287.95,4290.0,4287.46,4289.5,180.8107,1755519899999,775453.799077,2103,67.6797,290264.210234,0
1755519900000,4289.5,4292.01,4288.88,4289.5,138.7911,1755519959999,595440.890258,1673,32.2168,138227.994376,0
1755519960000,4289.5,4294.29,4289.5,4293.0,136.1843,1755520019999,584559.22663,1800,74.5104,319792.760455,0
1755520020000,4292.99,4295.97,4292.53,4295.23,98.956,1755520079999,424949.031269,1487,67.0108,287767.150981,0
1755520080000,4295.23,4297.15,4293.97,4294.95,275.3983,1755520139999,1182952.288282,1981,229.9195,987598.092683,0
1755520140000,4294.95,4294.95,4290.78,4290.83,98.6133,1755520199999,423385.808875,1441,33.5363,143986.519199,0
1755520200000,4290.84,4291.28,4288.0,4290.63,125.6748,1755520259999,539116.936306,1627,51.0517,218992.059802,0
1755520260000,4290.64,4294.07,4289.97,4294.07,57.3488,1755520319999,246073.784985,1260,29.6273,127142.910776,0
1755520320000,4294.08,4308.0,4293.86,4307.89,861.1264,1755520379999,3704035.241343,4041,775.3678,3334932.233683,0
1755520380000,4307.88,4310.85,4307.12,4310.43,401.7726,1755520439999,1731295.175972,3758,300.4506,1294602.11101,0
1755520440000,4310.43,4314.49,4308.91,4311.18,779.595,1755520499999,3362049.482503,4547,720.5385,3107443.06635,0
1755520500000,4311.18,4313.44,4310.03,4313.42,275.6913,1755520559999,1188849.658474,3081,194.8716,840330.957148,0
1755520560000,4313.43,4319.29,4306.4,4319.24,1600.9769,1755520619999,6905495.24793,5537,1415.7781,6106950.134456,0
1755520620000,4319.25,4340.88,4317.5,4335.0,4733.7128,1755520679999,20497528.708292,15853,2526.8605,10944202.424688,0
1755520680000,4335.0,4335.0,4324.5,4325.79,1016.4241,1755520739999,4400865.552311,5922,242.2801,1048945.280197,0
1755520740000,4325.79,4328.7,4323.65,4323.65,392.071,1755520799999,1696167.848269,3747,240.2716,1039479.291568,0
1755520800000,4323.65,4329.02,4323.25,4324.76,293.2544,1755520859999,1268773.269011,3097,208.2019,900763.522269,0
1755520860000,4324.76,4333.28,4324.75,4331.57,1150.305,1755520919999,4981972.876684,3474,958.7402,4152138.641637,0
1755520920000,4331.57,4335.74,4330.92,4333.83,522.5659,1755520979999,2264674.334662,3210,402.108,1742633.638113,0
1755520980000,4333.82,4339.29,4333.44,4337.98,303.8679,1755521039999,1317567.377727,2407,145.7624,632084.441616,0
1755521040000,4337.99,4339.12,4334.88,4336.25,329.8803,1755521099999,1430719.865704,3405,145.7808,632264.724745,0
1755521100000,4336.25,4337.48,4332.33,4332.62,274.4045,1755521159999,1189344.265587,2837,138.526,600434.90487,0
1755521160000,4332.62,4334.28,4328.41,4328.72,804.3431,1755521219999,3483245.930975,2946,151.4661,656110.694693,0
1755521220000,4328.72,4330.93,4327.03,4330.93,483.162,1755521279999,2091593.232341,2878,223.3611,966951.617486,0
1755521280000,4330.92,4330.98,4328.44,4330.55,861.1021,1755521339999,3728372.617221,2167,310.1762,1343112.631667,0
1755521340000,4330.54,4333.06,4328.51,4330.31,568.6916,1755521399999,2462730.210403,3310,424.6465,1839005.504478,0
